Datetime,Open,High,Low,Close,Adj Close,Volume
2022-07-13 09:30:00-04:00,160.16000366210938,161.7899932861328,160.0,161.17100524902344,161.17100524902344,796009
2022-07-13 09:31:00-04:00,161.25,161.47999572753906,160.44000244140625,160.55999755859375,160.55999755859375,130472
2022-07-13 09:32:00-04:00,160.4600067138672,160.72000122070312,160.0,160.13999938964844,160.13999938964844,96746
2022-07-13 09:33:00-04:00,160.13999938964844,160.14999389648438,159.61270141601562,159.9199981689453,159.9199981689453,140442
2022-07-13 09:34:00-04:00,160.21499633789062,160.35000610351562,160.16000366210938,160.35000610351562,160.35000610351562,133012
2022-07-13 09:35:00-04:00,160.25,160.3699951171875,160.11000061035156,160.25999450683594,160.25999450683594,117751
2022-07-13 09:36:00-04:00,160.375,160.7899932861328,160.22000122070312,160.3300018310547,160.3300018310547,109331
2022-07-13 09:37:00-04:00,160.25,160.25,160.222900390625,160.222900390625,160.222900390625,65787
2022-07-13 09:38:00-04:00,160.33999633789062,160.33999633789062,160.27000427246094,160.3249969482422,160.3249969482422,89611
2022-07-13 09:39:00-04:00,161.0,161.25,160.99000549316406,161.13999938964844,161.13999938964844,137225
2022-07-13 09:40:00-04:00,161.0,161.0,160.75,160.75,160.75,133669
2022-07-13 09:41:00-04:00,160.58999633789062,160.58999633789062,160.38999938964844,160.38999938964844,160.38999938964844,91063
2022-07-13 09:42:00-04:00,160.5,161.14999389648438,160.49000549316406,161.14999389648438,161.14999389648438,132101
2022-07-13 09:43:00-04:00,160.75,160.75,160.60000610351562,160.60000610351562,160.60000610351562,83407
2022-07-13 09:44:00-04:00,160.75,160.97000122070312,160.6199951171875,160.7899932861328,160.7899932861328,74692
2022-07-13 09:45:00-04:00,160.5,160.5399932861328,160.4600067138672,160.49000549316406,160.49000549316406,87411
2022-07-13 09:46:00-04:00,160.5,160.52000427246094,160.25999450683594,160.4199981689453,160.4199981689453,83534
2022-07-13 09:47:00-04:00,160.5,161.11000061035156,160.5,161.11000061035156,161.11000061035156,91442
